order	#S = immediate (I=1). S = register. #D = immediate (L=1). D = register.  - Assembly Syntax -	- Group -	- Encoding -	- Alias -	* Z = (result == 0). ** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.  - Description -	Next Inst Shielded from Interrupt	Clock Cycles (8 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cycles (8 cogs) * +1 if crosses hub long  - Hub Exec Mode -	Clock Cycles (16 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cyles (16 cogs) * +1 if crosses hub long  - Hub Exec Mode -	* Data not forwarded.  - Register Write -	- Hub R/W -	- Stack R/W -
247	LOCKREL {#}D            {WC}	Hub Control - Locks	EEEE 1101011 C0L DDDDDDDDD 000000111	.	Release LOCK D[3:0]. If D is a register and WC, get current/last cog id of LOCK owner into D and LOCK status into C.		2...9, +2 if result	same	2...17, +2 if result	same			
248	QLOG    {#}D	CORDIC Solver	EEEE 1101011 00L DDDDDDDDD 000001110	.	Begin CORDIC number-to-logarithm conversion of D. GETQX retrieves log {5'whole_exponent, 27'fractional_exponent}.		2...9	same	2...17	same			
249	QEXP    {#}D	CORDIC Solver	EEEE 1101011 00L DDDDDDDDD 000001111	.	Begin CORDIC logarithm-to-number conversion of D. GETQX retrieves number.		2...9	same	2...17	same			
250	RFBYTE  D        {WC/WZ/WCZ}	Hub FIFO - Read	EEEE 1101011 CZ0 DDDDDDDDD 000010000	.	Used after RDFAST. Read zero-extended byte from FIFO into D. C = MSB of byte. *		2	FIFO IN USE	2	FIFO IN USE	D	Read	
251	RFWORD  D        {WC/WZ/WCZ}	Hub FIFO - Read	EEEE 1101011 CZ0 DDDDDDDDD 000010001	.	Used after RDFAST. Read zero-extended word from FIFO into D. C = MSB of word. *		2	FIFO IN USE	2	FIFO IN USE	D	Read	
252	RFLONG  D        {WC/WZ/WCZ}	Hub FIFO - Read	EEEE 1101011 CZ0 DDDDDDDDD 000010010	.	Used after RDFAST. Read long from FIFO into D. C = MSB of long. *		2	FIFO IN USE	2	FIFO IN USE	D	Read	
253	RFVAR   D        {WC/WZ/WCZ}	Hub FIFO - Read	EEEE 1101011 CZ0 DDDDDDDDD 000010011	.	Used after RDFAST. Read zero-extended 1..4-byte value from FIFO into D. C = 0. *		2	FIFO IN USE	2	FIFO IN USE	D	Read	
254	RFVARS  D        {WC/WZ/WCZ}	Hub FIFO - Read	EEEE 1101011 CZ0 DDDDDDDDD 000010100	.	Used after RDFAST. Read sign-extended 1..4-byte value from FIFO into D. C = MSB of value. *		2	FIFO IN USE	2	FIFO IN USE	D	Read	
255	WFBYTE  {#}D	Hub FIFO - Write	EEEE 1101011 00L DDDDDDDDD 000010101	.	Used after WRFAST. Write byte in D[7:0] into FIFO.		2	FIFO IN USE	2	FIFO IN USE		Write	
256	WFWORD  {#}D	Hub FIFO - Write	EEEE 1101011 00L DDDDDDDDD 000010110	.	Used after WRFAST. Write word in D[15:0] into FIFO.		2	FIFO IN USE	2	FIFO IN USE		Write	
257	WFLONG  {#}D	Hub FIFO - Write	EEEE 1101011 00L DDDDDDDDD 000010111	.	Used after WRFAST. Write long in D[31:0] into FIFO.		2	FIFO IN USE	2	FIFO IN USE		Write	
258	GETQX   D        {WC/WZ/WCZ}	CORDIC Solver	EEEE 1101011 CZ0 DDDDDDDDD 000011000	.	Retrieve CORDIC result X into D. Waits, in case result not ready. C = X[31]. *		2...58	same	2...58	same	D		
259	GETQY   D        {WC/WZ/WCZ}	CORDIC Solver	EEEE 1101011 CZ0 DDDDDDDDD 000011001	.	Retrieve CORDIC result Y into D. Waits, in case result not ready. C = Y[31]. *		2...58	same	2...58	same	D		
260	GETCT   D               {WC}	Miscellaneous	EEEE 1101011 C00 DDDDDDDDD 000011010	.	Get CT[31:0] or CT[63:32] if WC into D. GETCT WC + GETCT gets full CT. CT=0 on reset, CT++ on every clock. C = same.	✔ if WC	2	same	2	same	D		
261	GETRND  D        {WC/WZ/WCZ}	Miscellaneous	EEEE 1101011 CZ0 DDDDDDDDD 000011011	.	Get RND into D/C/Z. RND is the PRNG that updates on every clock. D = RND[31:0], C = RND[31], Z = RND[30], unique per cog.		2	same	2	same	D		
262	GETRND            WC/WZ/WCZ	Miscellaneous	EEEE 1101011 CZ1 000000000 000011011	alias	Get RND into C/Z. C = RND[31], Z = RND[30], unique per cog.		2	same	2	same			
263	SETDACS {#}D	Smart Pins	EEEE 1101011 00L DDDDDDDDD 000011100	.	DAC3 = D[31:24], DAC2 = D[23:16], DAC1 = D[15:8], DAC0 = D[7:0].		2	same	2	same			
264	SETXFRQ {#}D	Streamer	EEEE 1101011 00L DDDDDDDDD 000011101	.	Set streamer NCO frequency to D.		2	same	2	same			
265	GETXACC D	Streamer	EEEE 1101011 000 DDDDDDDDD 000011110	.	Get the streamer's Goertzel X accumulator into D and the Y accumulator into the next instruction's S, clear accumulators.	✔	2	same	2	same	D		
266	WAITX   {#}D     {WC/WZ/WCZ}	Miscellaneous	EEEE 1101011 CZL DDDDDDDDD 000011111	.	Wait 2 + D clocks if no WC/WZ/WCZ. If WC/WZ/WCZ, wait 2 + (D & RND) clocks. C/Z = 0.		2 + D	same	2 + D	same			
267	SETSE1  {#}D	Events - Configuration	EEEE 1101011 00L DDDDDDDDD 000100000	.	Set SE1 event configuration to D[8:0].		2	same	2	same			
268	SETSE2  {#}D	Events - Configuration	EEEE 1101011 00L DDDDDDDDD 000100001	.	Set SE2 event configuration to D[8:0].		2	same	2	same			
269	SETSE3  {#}D	Events - Configuration	EEEE 1101011 00L DDDDDDDDD 000100010	.	Set SE3 event configuration to D[8:0].		2	same	2	same			
270	SETSE4  {#}D	Events - Configuration	EEEE 1101011 00L DDDDDDDDD 000100011	.	Set SE4 event configuration to D[8:0].		2	same	2	same			
271	POLLINT          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000000 000100100	.	Get INT event flag into C/Z, then clear it.		2	same	2	same			
272	POLLCT1          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000001 000100100	.	Get CT1 event flag into C/Z, then clear it.		2	same	2	same			
273	POLLCT2          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000010 000100100	.	Get CT2 event flag into C/Z, then clear it.		2	same	2	same			
274	POLLCT3          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000011 000100100	.	Get CT3 event flag into C/Z, then clear it.		2	same	2	same			
275	POLLSE1          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000100 000100100	.	Get SE1 event flag into C/Z, then clear it.		2	same	2	same			
276	POLLSE2          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000101 000100100	.	Get SE2 event flag into C/Z, then clear it.		2	same	2	same			
277	POLLSE3          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000110 000100100	.	Get SE3 event flag into C/Z, then clear it.		2	same	2	same			
278	POLLSE4          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000000111 000100100	.	Get SE4 event flag into C/Z, then clear it.		2	same	2	same			
279	POLLPAT          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001000 000100100	.	Get PAT event flag into C/Z, then clear it.		2	same	2	same			
280	POLLFBW          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001001 000100100	.	Get FBW event flag into C/Z, then clear it.		2	same	2	same			
281	POLLXMT          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001010 000100100	.	Get XMT event flag into C/Z, then clear it.		2	same	2	same			
282	POLLXFI          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001011 000100100	.	Get XFI event flag into C/Z, then clear it.		2	same	2	same			
283	POLLXRO          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001100 000100100	.	Get XRO event flag into C/Z, then clear it.		2	same	2	same			
284	POLLXRL          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001101 000100100	.	Get XRL event flag into C/Z, then clear it.		2	same	2	same			
285	POLLATN          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001110 000100100	.	Get ATN event flag into C/Z, then clear it.		2	same	2	same			
286	POLLQMT          {WC/WZ/WCZ}	Events - Poll	EEEE 1101011 CZ0 000001111 000100100	.	Get QMT event flag into C/Z, then clear it.		2	same	2	same			
287	WAITINT          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010000 000100100	.	Wait for INT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
288	WAITCT1          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010001 000100100	.	Wait for CT1 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
289	WAITCT2          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010010 000100100	.	Wait for CT2 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
290	WAITCT3          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010011 000100100	.	Wait for CT3 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
291	WAITSE1          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010100 000100100	.	Wait for SE1 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
292	WAITSE2          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010101 000100100	.	Wait for SE2 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
293	WAITSE3          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010110 000100100	.	Wait for SE3 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
294	WAITSE4          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000010111 000100100	.	Wait for SE4 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
295	WAITPAT          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011000 000100100	.	Wait for PAT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
296	WAITFBW          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011001 000100100	.	Wait for FBW event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
297	WAITXMT          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011010 000100100	.	Wait for XMT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
298	WAITXFI          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011011 000100100	.	Wait for XFI event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
299	WAITXRO          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011100 000100100	.	Wait for XRO event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
300	WAITXRL          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011101 000100100	.	Wait for XRL event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
301	WAITATN          {WC/WZ/WCZ}	Events - Wait	EEEE 1101011 CZ0 000011110 000100100	.	Wait for ATN event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.		2+	same	2+	same			
302	ALLOWI	Interrupts	EEEE 1101011 000 000100000 000100100	.	Allow interrupts (default).		2	same	2	same			
303	STALLI	Interrupts	EEEE 1101011 000 000100001 000100100	.	Stall Interrupts.		2	same	2	same			
304	TRGINT1	Interrupts	EEEE 1101011 000 000100010 000100100	.	Trigger INT1, regardless of STALLI mode.		2	same	2	same			
305	TRGINT2	Interrupts	EEEE 1101011 000 000100011 000100100	.	Trigger INT2, regardless of STALLI mode.		2	same	2	same			
306	TRGINT3	Interrupts	EEEE 1101011 000 000100100 000100100	.	Trigger INT3, regardless of STALLI mode.		2	same	2	same			
307	NIXINT1	Interrupts	EEEE 1101011 000 000100101 000100100	.	Cancel INT1.		2	same	2	same			
308	NIXINT2	Interrupts	EEEE 1101011 000 000100110 000100100	.	Cancel INT2.		2	same	2	same			
309	NIXINT3	Interrupts	EEEE 1101011 000 000100111 000100100	.	Cancel INT3.		2	same	2	same			
310	SETINT1 {#}D	Interrupts	EEEE 1101011 00L DDDDDDDDD 000100101	.	Set INT1 source to D[3:0].		2	same	2	same			
311	SETINT2 {#}D	Interrupts	EEEE 1101011 00L DDDDDDDDD 000100110	.	Set INT2 source to D[3:0].		2	same	2	same			
312	SETINT3 {#}D	Interrupts	EEEE 1101011 00L DDDDDDDDD 000100111	.	Set INT3 source to D[3:0].		2	same	2	same			
313	SETQ    {#}D	Miscellaneous	EEEE 1101011 00L DDDDDDDDD 000101000	.	Set Q to D. Use before RDLONG/WRLONG/WMLONG to set block transfer. Also used before MUXQ/COGINIT/QDIV/QFRAC/QROTATE/WAITxxx.	✔	2	same	2	same			
314	SETQ2   {#}D	Miscellaneous	EEEE 1101011 00L DDDDDDDDD 000101001	.	Set Q to D. Use before RDLONG/WRLONG/WMLONG to set LUT block transfer.	✔	2	same	2	same			
315	PUSH    {#}D	Miscellaneous	EEEE 1101011 00L DDDDDDDDD 000101010	.	Push D onto stack.		2	same	2	same			Push
316	POP     D        {WC/WZ/WCZ}	Miscellaneous	EEEE 1101011 CZ0 DDDDDDDDD 000101011	.	Pop stack (K). D = K. C = K[31]. *		2	same	2	same	D		Pop
317	JMP     D        {WC/WZ/WCZ}	Branch D - Jump	EEEE 1101011 CZ0 DDDDDDDDD 000101100	.	Jump to D.                                                              C = D[31], Z = D[30], PC = D[19:0].		4	13...20	4	13...28			
318	CALL    D        {WC/WZ/WCZ}	Branch D - Call	EEEE 1101011 CZ0 DDDDDDDDD 000101101	.	Call to D by pushing {C, Z, 10'b0, PC[19:0]} onto stack.                C = D[31], Z = D[30], PC = D[19:0].		4	13...20	4	13...28			Push
319	RET              {WC/WZ/WCZ}	Branch Return	EEEE 1101011 CZ1 000000000 000101101	.	Return by popping stack (K).                                            C = K[31], Z = K[30], PC = K[19:0].		4	13...20	4	13...28			Pop
320	CALLA   D        {WC/WZ/WCZ}	Branch D - Call	EEEE 1101011 CZ0 DDDDDDDDD 000101110	.	Call to D by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRA++.     C = D[31], Z = D[30], PC = D[19:0].		5...12 *	14...32 *	5...20 *	14...64 *		Write	
321	RETA             {WC/WZ/WCZ}	Branch Return	EEEE 1101011 CZ1 000000000 000101110	.	Return by reading hub long (L) at --PTRA.                               C = L[31], Z = L[30], PC = L[19:0].		11...18 *	20...40 *	11...26 *	20...70 *		Read	
322	CALLB   D        {WC/WZ/WCZ}	Branch D - Call	EEEE 1101011 CZ0 DDDDDDDDD 000101111	.	Call to D by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRB++.     C = D[31], Z = D[30], PC = D[19:0].		5...12 *	14...32 *	5...20 *	14...64 *		Write	
323	RETB             {WC/WZ/WCZ}	Branch Return	EEEE 1101011 CZ1 000000000 000101111	.	Return by reading hub long (L) at --PTRB.                               C = L[31], Z = L[30], PC = L[19:0].		11...18 *	20...40 *	11...26 *	20...70 *		Read	
324	JMPREL  {#}D	Branch D - Jump	EEEE 1101011 00L DDDDDDDDD 000110000	.	Jump ahead/back by D instructions. For cogex, PC += D[19:0]. For hubex, PC += D[17:0] << 2.		4	13...20	4	13...28			
325	SKIP    {#}D	Branch D - Skip	EEEE 1101011 00L DDDDDDDDD 000110001	.	Skip instructions per D. Subsequent instructions 0..31 get cancelled for each '1' bit in D[0]..D[31].		2	same	2	same			
326	SKIPF   {#}D	Branch D - Jump+Skip	EEEE 1101011 00L DDDDDDDDD 000110010	.	Skip cog/LUT instructions fast per D. Like SKIP, but instead of cancelling instructions, the PC leaps over them.		2	ILLEGAL	2	ILLEGAL			
327	EXECF   {#}D	Branch D - Call+Skip	EEEE 1101011 00L DDDDDDDDD 000110011	.	Jump to D[9:0] in cog/LUT and set SKIPF pattern to D[31:10]. PC = {10'b0, D[9:0]}.		4	same	4	same			
328	GETPTR  D	Hub FIFO	EEEE 1101011 000 DDDDDDDDD 000110100	.	Get current FIFO hub pointer into D.		2	FIFO IN USE	2	FIFO IN USE	D		
329	GETBRK  D          WC/WZ/WCZ	Interrupts	EEEE 1101011 CZ0 DDDDDDDDD 000110101	.	Get breakpoint/cog status into D according to WC/WZ/WCZ. See documentation for details.		2	same	2	same	D		
330	COGBRK  {#}D	Interrupts	EEEE 1101011 00L DDDDDDDDD 000110101	.	If in debug ISR, trigger asynchronous breakpoint in cog D[3:0]. Cog D[3:0] must have asynchronous breakpoint enabled.		2	same	2	same			
331	BRK     {#}D	Interrupts	EEEE 1101011 00L DDDDDDDDD 000110110	.	If in debug ISR, set next break condition to D. Else, set BRK code to D[7:0] and unconditionally trigger BRK interrupt, if enabled.		2	same	2	same			
332	SETLUTS {#}D	Lookup Table	EEEE 1101011 00L DDDDDDDDD 000110111	If D[0] = 1 then enable LUT sharing, where LUT writes within the adjacent odd/even companion cog are copied to this LUT.			2	same	2	same			
333	SETCY   {#}D	Color Space Converter	EEEE 1101011 00L DDDDDDDDD 000111000	.	Set the colorspace converter "CY" parameter to D[31:0].		2	same	2	same			
334	SETCI   {#}D	Color Space Converter	EEEE 1101011 00L DDDDDDDDD 000111001	.	Set the colorspace converter "CI" parameter to D[31:0].		2	same	2	same			
335	SETCQ   {#}D	Color Space Converter	EEEE 1101011 00L DDDDDDDDD 000111010	.	Set the colorspace converter "CQ" parameter to D[31:0].		2	same	2	same			
336	SETCFRQ {#}D	Color Space Converter	EEEE 1101011 00L DDDDDDDDD 000111011	.	Set the colorspace converter "CFRQ" parameter to D[31:0].		2	same	2	same			
337	SETCMOD {#}D	Color Space Converter	EEEE 1101011 00L DDDDDDDDD 000111100	.	Set the colorspace converter "CMOD" parameter to D[8:0].		2	same	2	same			
338	SETPIV  {#}D	Pixel Mixer	EEEE 1101011 00L DDDDDDDDD 000111101	.	Set BLNPIX/MIXPIX blend factor to D[7:0].		2	same	2	same			
339	SETPIX  {#}D	Pixel Mixer	EEEE 1101011 00L DDDDDDDDD 000111110	.	Set MIXPIX mode to D[5:0].		2	same	2	same			
340	COGATN  {#}D	Events - Attention	EEEE 1101011 00L DDDDDDDDD 000111111	.	Strobe "attention" of all cogs whose corresponging bits are high in D[15:0].		2	same	2	same			
341	TESTP   {#}D           WC/WZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000000	.	Test  IN bit of pin D[5:0], write to C/Z. C/Z =          IN[D[5:0]].		2	same	2	same			
342	TESTPN  {#}D           WC/WZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000001	.	Test !IN bit of pin D[5:0], write to C/Z. C/Z =         !IN[D[5:0]].		2	same	2	same			
343	TESTP   {#}D       ANDC/ANDZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000010	.	Test  IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND  IN[D[5:0]].		2	same	2	same			
344	TESTPN  {#}D       ANDC/ANDZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000011	.	Test !IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND !IN[D[5:0]].		2	same	2	same			
345	TESTP   {#}D         ORC/ORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000100	.	Test  IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR   IN[D[5:0]].		2	same	2	same			
346	TESTPN  {#}D         ORC/ORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000101	.	Test !IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR  !IN[D[5:0]].		2	same	2	same			
347	TESTP   {#}D       XORC/XORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000110	.	Test  IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR  IN[D[5:0]].		2	same	2	same			
348	TESTPN  {#}D       XORC/XORZ	Pins	EEEE 1101011 CZL DDDDDDDDD 001000111	.	Test !IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR !IN[D[5:0]].		2	same	2	same			
349	DIRL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000000	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = 0.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
350	DIRH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000001	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = 1.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
351	DIRC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000010	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = C.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
352	DIRNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000011	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = !C.                 Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
353	DIRZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000100	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = Z.                  Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
354	DIRNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000101	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.                 Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
355	DIRRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000110	.	DIR bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs.               Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
356	DIRNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001000111	.	Toggle DIR bits of pins D[10:6]+D[5:0]..D[5:0].               Wraps within DIRA/DIRB. Prior SETQ overrides D[10:6]. C,Z = DIR bit.		2	same	2	same	DIRx		
357	OUTL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001000	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 0.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
358	OUTH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001001	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 1.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
359	OUTC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001010	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = C.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
360	OUTNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001011	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !C.                 Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
361	OUTZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001100	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = Z.                  Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
362	OUTNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001101	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.                 Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
363	OUTRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001110	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs.               Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
364	OUTNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001001111	.	Toggle OUT bits of pins D[10:6]+D[5:0]..D[5:0].               Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	OUTx		
365	FLTL    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010000	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 0.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
366	FLTH    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010001	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = 1.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
367	FLTC    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010010	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = C.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
368	FLTNC   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010011	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !C.   DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
369	FLTZ    {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010100	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = Z.    DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
370	FLTNZ   {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010101	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = !Z.   DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
371	FLTRND  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010110	.	OUT bits of pins D[10:6]+D[5:0]..D[5:0] = RNDs. DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
372	FLTNOT  {#}D           {WCZ}	Pins	EEEE 1101011 CZL DDDDDDDDD 001010111	.	Toggle OUT bits of pins D[10:6]+D[5:0]..D[5:0]. DIR bits = 0. Wraps within OUTA/OUTB. Prior SETQ overrides D[10:6]. C,Z = OUT bit.		2	same	2	same	DIRx* + OUTx		
